BAT ID,Unnamed: 0,BAT Name,CTPT Name,spec. source,FWHM narrow [km/s],err,F(OI 6300) [e-15 erg/s/cm2],err.1,F(NII red) [e-15 erg/s/cm2],err.2,F(NII total) [e-15 erg/s/cm2],err.3,F(Ha narrow) [e-15 erg/s/cm2],err.4,F(SII blue) [e-15 erg/s/cm2],err.5,F(SII red) [e-15 erg/s/cm2],err.6,F(Ha broad) [e-15 erg/s/cm2],err.7,FWHM(Ha broad) [km/s],err.8,Unnamed: 23,quality flag,6DF flag: flux calibration problem,EQW(Ha broad) [A,high z,comments,Two broad components,table,Corrected F(OI 6300) [e-15 erg/s/cm2],Corrected F(NII red) [e-15 erg/s/cm2]
8.0,1.0,,Mrk 1501,Gemini,410.8037915,0.0,10.94,0.9456186516,24.30742791,0.5617712758,0.0,0.0,58.9415604,0.7710729681,17.01410946,0.6506121822,14.88441174,0.7964212058,1076.613573,2.031888076,4703.915515,32.93342402,,2,,492.9820037,0,,,,,
36.0,,,Mrk 1148,Marziani03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1,,0.0,0,,,,,
51.0,1.0,,2MASX J01053882-1416133,6DF,593.9312376,0.0,11.36,0.1179268597,85.79135109,1.461068524,0.0,0.0,161.154735,1.815666824,18.28929495,0.2430979063,11.80927192,0.1863563822,657.5667903,2.51116673,3616.749705,12.42708131,,2,6.0,276.7425279,0,,,,,
77.0,,,Mrk 359,Crenshaw_Loral1K_double,274.2481988,1.346179762,6.64,0.1231842733,45.01266412,0.9765711273,0.0,0.0,108.5904657,2.22425598,20.43877022,0.436697842,18.02149966,0.3102119631,190.5169924,2.466152388,1854.554959,36.81639152,,1,,31.22248207,0,,,,,
90.0,,,B2 0138+39B,Marziani03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1,,0.0,0,,,,,
116.0,1.0,,Mrk 590,SDSS,460.3527679,70.87116867,7.41,0.1002636563,37.98726498,0.5042512332,0.0,0.0,29.44605052,0.4309002894,8.639456741,0.2123217021,8.731013399,0.2270349602,302.3964876,1.821668531,4183.971246,1373.159258,,1,,89.02553792,0,,,,,
129.0,1.0,,NGC 931,Crenshaw_Deveny,440.8744888,10.17353332,5.71,1.73326079,83.15384605,1.207776048,0.0,0.0,91.60183654,3.653442155,26.26260202,1.439296021,29.16433308,1.166450888,1289.803998,5.130428861,3043.205943,44.3356843,,1,,254.748731,0,,,,,
134.0,,,NGC 985,Palomar_txt,430.6610284,20.00045799,8.5,2.45366955,33.14418062,0.9025966251,0.0,0.0,77.24279878,3.901486998,25.52947252,1.175275441,25.79553824,1.657625016,1566.276392,4.051904216,4785.750792,43.7,,2,,589.2063495,0,,,,,
162.0,1.0,,MCG -02-08-038,Gemini,268.8495049,0.0,20.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1,,0.0,0,,,,,
169.0,,,2MASX J03120291+5029147,Crenshaw_Deveny,788.3593514,13.37017636,-29.35,1.58481881,172.6042653,5.958065781,0.0,0.0,278.4138823,7.06218945,40.31637346,1.821208019,29.8589667,7.773132031,1433.055064,16.07834839,5174.189825,53.10143116,,2,,364.6236999,0,,,,,
170.0,,,QSO B0309+411,Gemini,417.6055005,5.787654952,5.12,0.0728121106,12.05513543,0.1626788904,0.0,0.0,14.8360131,0.2291056403,2.938497736,0.0702750775,0.4934357762,0.0519604987,52.01973455,0.4209009066,6543.314537,70.73652728,,4,,65.68455726,0,,,,,
173.0,,,NGC 1275,Crenshaw_Deveny,574.453323,0.9891724013,350.99,2.669145379,672.4219893,6.423211144,0.0,0.0,564.3473995,5.807587675,379.6479338,1.406509909,354.4129247,1.78053146,1573.408672,14.755486,2929.573532,13.57700942,,1,,92.20840592,0,,,,,
183.0,1.0,,2MASXJ03331873+3718107,Masetti,268.8495049,0.0,3.85,1.214427326,9.907680875,2.012847476,0.0,0.0,17.57904011,2.643570708,6.842008358,0.3208134348,6.877151213,1.180149452,590.2411855,3.529766675,3866.26688,57.24565746,,2,,344.2568635,0,,,,,
185.0,,,2MASX J03342453-1513402,6DF,421.7396795,3.516280475,3.1,0.2318149182,24.71053476,0.6399482567,0.0,0.0,60.28358103,0.8646562674,9.34756319,0.2423073001,7.527033714,0.2006033771,126.5241461,1.001759775,2603.973668,28.77557398,,1,6.0,67.1518671,0,,,,,
197.0,1.0,,2MASX J03540948+0249307,Crenshaw_Deveny,331.121496,0.0,-3.3,0.0928709069,6.993556868,0.0993440874,0.0,0.0,29.08745326,0.7197344324,4.209313209,0.2508077255,5.42764022,0.1590857326,469.8963384,1.886812725,2491.87999,8.991290921,,2,,319.73546,0,,,,,
213.0,,,IRAS 04124-0803,6DF,511.6431718,1.749298062,16.98,0.2293702241,45.78113164,0.8650400551,0.0,0.0,369.7237466,0.8322450892,31.02831063,0.3798023979,25.2114932,0.3817902814,1353.543463,1.98418741,4142.604663,13.15817376,,2,6.0,364.2590298,0,,,,,
216.0,,,NGC 1566,Crenshaw_Loral1K,303.515549,1.851927238,11.6,0.3898988917,147.3694138,0.991804992,0.0,0.0,105.7775645,0.9296934405,44.98697533,0.4859819172,47.14648313,0.447471401,370.0161612,3.53376834,2650.209758,11.35470114,,2,,22.84527513,0,,,,,
220.0,,,1H 0419-577,Saao,941.7677988,13.67728108,-11.62,0.3935897266,38.18086644,3.334280791,0.0,0.0,241.4696272,6.039268964,11.43898567,1.082576516,8.696802572,1.464988126,596.5257045,4.876481387,4150.568835,89.86761953,,2,,387.1672589,0,,,,,
226.0,,,3C 120,Marziani03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1,,0.0,0,,,,,
232.0,,,2MASX J04404770+2739466,Crenshaw_Deveny,0.0,0.0,-76.65,5.492826165,-64.14232723,0.0,0.0,0.0,-64.14232723,0.0,-91.55028439,5.451726803,-91.55028439,7.624063128,1220.561845,12.1853132,5661.802578,339.0866236,,2,,201.6149783,0,,,,,
