BAT ID,Unnamed: 0,BAT Name,CTPT Name,spec. source,FWHM narrow [km/s],err,F(OI 6300) [e-15 erg/s/cm2],err.1,F(NII red) [e-15 erg/s/cm2],err.2,F(NII total) [e-15 erg/s/cm2],err.3,F(Ha narrow) [e-15 erg/s/cm2],err.4,F(SII blue) [e-15 erg/s/cm2],err.5,F(SII red) [e-15 erg/s/cm2],err.6,F(Ha broad) [e-15 erg/s/cm2],err.7,FWHM(Ha broad) [km/s],err.8,Unnamed: 23,quality flag,6DF flag: flux calibration problem,EQW(Ha broad) [A,high z,comments,Two broad components,table,Corrected F(OI 6300) [e-15 erg/s/cm2],Corrected F(NII red) [e-15 erg/s/cm2]
6.0,1.0,,Mrk 335,Crenshaw_Deveny,597.1535814,52.78583479,-17.46,3.033721506,22.93458006,2.558128595,0.0,0.0,243.3610042,6.873079176,-50.75299497,4.99525253,-50.75299497,4.99525253,1929.256868,8.691742314,1706.0678,668.6817688,,2,,297.4837519,0,,,,,
16.0,,,[HB89] 0026+129,Marziani03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,0.0,0,,,,,
39.0,,,[HB89] 0052+251,Marziani03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1,,0.0,0,,,,,
43.0,1.0,,Mrk 352,Crenshaw_Deveny,474.8322587,209.5853264,-3.99,1.174594804,0.7081991073,2.447792167,0.0,0.0,10.14967489,3.466551046,3.544271694,0.3361911655,3.245436151,0.8925811672,491.3930521,4.247121592,3535.825973,1880.851455,,2,,225.1379234,0,,,,,
45.0,,,2MASX J01012440-0308399,6DF,438.5946161,11.99299188,3.04,0.0949032919,8.751429904,0.0815344377,0.0,0.0,5.10805339,0.1667293735,2.461940232,0.1017878538,2.234665974,0.119585149,92.5382273,0.579317366,6761.711208,55.46752013,,2,6.0,121.1913856,0,,,,,
60.0,,,Mrk 975,Gemini,636.5182873,2.226945162,2.07,0.0601959585,34.90113233,0.5369435746,0.0,0.0,29.95595073,0.6080559698,3.795706503,0.2993532997,3.225462252,0.2030942904,296.1530406,1.728526701,4038.894252,11.03295835,,2,,404.8278384,0,,,,,
61.0,,,Mrk 1152,Gemini,758.381722,18.25057754,-7.03,0.696917586,54.27132773,1.642733525,0.0,0.0,72.21479498,2.253731613,10.5373929,0.6921405639,10.69596612,0.4778643985,634.6927623,2.900000118,5301.495427,49.78335634,,2,,266.2901594,0,,,,,
73.0,1.0,,Fairall 9,Saao,778.5330929,0.0,-13.37,0.0,58.95011538,4.875229062,0.0,0.0,83.85518511,14.37199726,-19.89637896,3.147226962,-19.89637896,5.770923678,861.5815176,17.72564479,4971.939079,97.71903533,,2,,289.0001878,0,,,,,
85.0,1.0,,2MASX J01344565-0430134,6DF,743.705621,50.97116397,-4.13,1.788206587,9.474917167,0.284122969,0.0,0.0,9.665864797,1.161659076,-8.496487106,1.363569708,-8.496487106,0.637287272,108.8861679,1.629919813,6912.042837,90.23119542,,2,6.0,176.2687006,0,,,,,
94.0,1.0,,2MASXJ01492228-5015073,Palermo,268.8495049,0.0,-1.26,0.2726556002,3.334628808,0.3104887405,0.0,0.0,1.113749212,0.4672424391,1.52285799,0.2949060559,2.216680378,0.130371184,137.1413681,1.611429578,4061.863139,31.56336941,,2,,111.984155,0,,,,,
95.0,,,ESO 354- G 004,6DF,375.4323455,23.20846361,-10.92,0.7755174288,-10.40728907,1.085518077,0.0,0.0,13.68395178,0.5933836436,-4.681096088,0.6491398918,-4.681096088,0.6767069033,239.7979109,3.869274849,5096.796141,77.43576272,,2,6.0,54.62890978,0,,,,,
106.0,1.0,,Mrk 1018,SDSS,453.6045671,6.503473811,-2.41,0.1466011737,20.5218067,0.2174503241,0.0,0.0,13.00864452,0.1346398447,4.702208776,0.2142352017,4.367205672,0.0398350198,331.2692073,0.5712425368,4161.012173,35.77522341,,2,,116.7366904,0,,,,,
111.0,,,NVSSJ020834-173933,Masetti,705.79953,6.041337042,-4.45,0.2355400034,17.45491202,0.2168864354,0.0,0.0,23.80700301,0.2568956038,16.80226904,0.0955214158,-40.97411827,0.5586561173,406.3255501,1.151953289,10817.48265,25.6,,4,,470.4989377,0,,,,,
124.0,,,PKS 0222-23,6DF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1,6.0,0.0,0,,,,,
126.0,,,Fairall 296,6DF,268.8495049,38.78633669,-2.04,0.2889180479,2.538617641,1.31254232,0.0,0.0,6.868954727,2.069388193,1.656187324,0.5844775742,1.629727254,0.2366139161,132.1225334,3.738250157,3144.995292,268.0441871,,2,6.0,137.6332713,0,,,,,
127.0,,,AM 0224-283,Gemini,590.8691149,6.472634799,-3.15,0.2186621135,32.34033827,0.4613115963,0.0,0.0,40.60428516,0.3316537618,7.770254472,0.1049499321,6.393222556,0.163799307,479.9261213,1.319269816,4227.484306,8.806627298,,1,,295.6847895,0,,,,,
138.0,,,2MASX J02384897-4038377,6DF,776.6297356,26.36267028,2.97,0.1623712543,29.12648025,0.4892345726,0.0,0.0,56.57505673,0.462989727,3.950911805,0.4348741179,3.448450193,0.3095837336,383.4578071,1.636807653,5223.908457,25.4517372,,2,6.0,307.5993002,0,,,,,
147.0,,,[HB89] 0241+622,Marziani03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1,,0.0,0,,,,,
167.0,,,RX J0311.3-2046,6DF,413.029281,4.958886602,-2.79,0.180222347,7.418163721,0.166927639,0.0,0.0,13.71990489,0.2405742369,-2.614660322,0.2413557709,-2.614660322,0.35149909,144.5215028,1.460296372,5588.978841,71.3099064,,1,6.0,214.1300021,0,,,,,
190.0,1.0,,LCRS B034324.7-394349,6DF,268.8495049,0.0,-0.62,0.0465814617,0.9204523696,0.1227653072,0.0,0.0,2.046856239,0.0878607778,0.5283413138,0.0518628672,0.3466861445,0.0626161488,29.62667667,0.9359605252,5478.347793,188.1313721,,2,6.0,94.88479789,0,,,,,
214.0,1.0,,3C 111.0,LWINTER,516.892132,0.0,-0.87,0.0,-0.9221468612,0.0,0.0,0.0,-0.9221468612,0.0,-2.015977658,0.0,1.335534788,0.063127677,0.0,0.0,0.0,0.0,,4,,0.0,0,,,,,
223.0,,,2MASXJ04294735-6703205,Palermo,268.8495049,0.0,-1.07,0.0,-1.307335335,0.0,0.0,0.0,1.451742091,0.0276145843,-3.089080088,0.0,1.903821365,0.7223738796,214.3012852,0.0,3546.067683,0.0,,2,,135.4007995,0,,,,,
224.0,,,2MASX J04293830-2109441,Gemini,507.8327859,4.317757718,7.1,1.047592971,40.43925439,1.751068728,0.0,0.0,47.53558461,1.877796216,11.08258076,0.9319988456,9.961305072,1.369351969,684.8023796,5.467752416,6319.941391,39.03829835,,1,,254.6259039,0,,,,,
228.0,,,Mrk 618,Crenshaw_Deveny,447.5513156,16.48427007,-8.14,1.232959062,40.93084708,2.023998297,0.0,0.0,117.114548,7.205074573,22.6115061,0.7083633558,27.57488903,0.9997470752,1575.382876,7.882335035,2651.903504,29.38110464,,2,,341.0055635,0,,,,,
230.0,,,MCG -02-12-050,KPNO,400.221567,62.53414503,-2.94,0.3798210909,4.991935797,1.362652251,0.0,0.0,9.188855906,0.3257119968,3.916995725,0.5937608428,4.197200092,0.3384447425,382.314707,2.130134734,5784.152212,88.65687372,,2,,182.819395,0,,,,,
