BAT ID,Broad Halpha Flux,Distance,Intrinsic 14-150 Flux,NH,Type,Intrinsic X-ray Luminosity
1031.0,,810.77,13.2,20.0,1.9,1.03841506452e+45
1032.0,1269.154315,165.08,46.8,20.0,1.2,1.52628796922e+44
1036.0,455.1756949,307.54,8.5,20.7,1,9.62108060686e+43
1037.0,,126.19,11.5,20.49,2,2.19154013487e+43
1038.0,,1583.16,12.0,20.66,1.2,3.59942037322e+45
1040.0,,289.47,27.2,23.67,1.5,2.72758148494e+44
1041.0,,262.3,18.5,20.0,1.2,1.52324589726e+44
1042.0,1056.205313,45.13,21.1,20.85,1.5,5.14297993336e+42
1043.0,501.8119308,178.16,12.9,20.0,1.2,4.90017765783e+43
1045.0,263.8780612,236.06,18.4,20.52,1.2,1.22705586632e+44
1046.0,836.9944993,22.8,66.1,20.97,1.5,4.11218704891e+42
1049.0,,237.81,21.4,22.84,2,1.44835728015e+44
1051.0,,263.92,39.7,23.69,2,3.30930518161e+44
1057.0,,251.75,120.7,23.38,2,9.15478050302e+44
1060.0,55.46849633,165.48,16.2,22.62,1.9,5.30893913647e+43
1062.0,,188.85,11.5,23.48,2,4.90832742719e+43
1063.0,303.0997032,110.88,15.4,20.78,1.2,2.26583803571e+43
1064.0,229.2115407,64.24,44.2,21.08,1.9,2.1829060341e+43
1067.0,,112.01,11.6,23.0,2,1.74169975668e+43
1072.0,,274.75,32.8,23.45,2,2.96313169128e+44
1074.0,,76.61,12.1,23.02,2,8.49880769556e+42
1077.0,,60.91,28.0,24.27,2,1.2431883676e+43
1084.0,240.0128053,214.22,9.5,21.3,1.5,5.21729438865e+43
1085.0,,38.51,9.8,23.08,2,1.73930129541e+42
1087.0,,243.81,12.8,23.41,2,9.1057286887e+43
1088.0,8714.913568,488.36,44.8,21.36,1,1.27867416808e+45
1089.0,8099.286799,219.29,15.9,21.15,1.2,9.15032431221e+43
1090.0,1931.649463,152.61,83.3,20.0,1.2,2.32173524162e+44
1092.0,,50.15,77.1,23.56,2,2.32058756242e+43
1099.0,1555.090993,118.08,17.2,21.2,1.2,2.87000625559e+43
1102.0,4648.550635,382.92,30.8,20.0,1.2,5.40466181942e+44
1104.0,,739.26,7.9,20.0,1,5.16681860426e+44
1106.0,138.0031538,228.71,10.9,21.57,1.5,6.82336358177e+43
1108.0,9.585264747,474.23,15.0,22.99,1.9,4.0371140157e+44
