,Broad Halpha Flux,Distance,Intrinsic 14-150 Flux,NH,Type,Intrinsic X-ray Luminosity,Broad Halpha Luminosity
707,154.9356183,103.84,14.0,20.0,1.5,1.80658792055e+43,1.99932011774e+41
712,211.5885555,23.833,205.4,22.44,1.9,1.39623838301e+43,1.43830604963e+40
713,429.7247896,461.49,15.7,20.0,1.5,4.00152882251e+44,1.09525868238e+43
719,338.3353387,100.53,34.7,20.0,1,4.19684130322e+43,4.09204531353e+41
722,923.3310028,331.79,16.1,20.0,1.2,2.12106593154e+44,1.2164260457e+43
726,811.8913956,520.54,11.5,20.85,1.2,3.72913205981e+44,2.63273933254e+43
728,1265.176411,398.71,14.6,20.0,1,2.77759434844e+44,2.40694989655e+43
734,377.0207344,163.61,10.3,20.0,1.2,3.2995796881e+43,1.20777665749e+42
735,1921.037355,137.8,22.4,20.0,1.2,5.09035605465e+43,4.36551970144e+42
736,303.4743871,693.15,16.0,20.0,1.5,9.19975253301e+44,1.74493078839e+43
738,208.3355742,167.86,9.6,23.52,1.9,3.23718394688e+43,7.02521433714e+41
739,29.3579978,30.567,103.3,24.13,1.9,1.15506829413e+43,3.28271950027e+39
740,112.3092987,130.9,218.9,24.75,1.9,4.48876389136e+44,2.30301473124e+41
741,72.5475658,238.47,10.4,21.86,1,7.07786948729e+43,4.93732886878e+41
744,1357.66118,582.4,11.8,23.07,1.2,4.78990000842e+44,5.51106889619e+43
746,278.2227704,78.94,16.8,21.23,1.9,1.25286775892e+43,2.0748591597e+41
748,489.1256119,219.26,19.2,20.0,1,1.10464251902e+44,2.8141091044e+42
750,153.3393852,71.23,18.2,20.92,1.5,1.10509339743e+43,9.31067814011e+40
753,660.1601602,163.08,33.3,20.0,1.2,1.05985718063e+44,2.10112758604e+42
754,605.3297094,161.34,15.5,20.0,1.5,4.8285586493e+43,1.88572258323e+42
757,84.39520681,244.99,17.7,20.28,1.9,1.27136920926e+44,6.06200380495e+41
760,1407.551807,198.87,25.9,21.28,1.5,1.22585758622e+44,6.66200023402e+42
765,460.70886,312.83,24.9,20.0,1.2,2.91620361455e+44,5.39566603528e+42
769,338.9859422,599.76,12.7,20.0,1.2,5.46714288104e+44,1.45927919738e+43
771,214.0829011,484.78,13.5,20.0,1.2,3.79686245484e+44,6.02106169933e+42
772,3095.564973,100.56,28.8,22.73,1.9,3.48533658147e+43,3.74621036136e+42
774,851.3411795,136.15,19.2,20.0,1.5,4.25929997289e+43,1.88860284519e+42
779,542.3958284,1361.69,7.4,20.0,1.2,1.64206340832e+45,1.2035788414e+44
783,151.3337394,107.64,36.8,21.97,1.9,5.1026632065e+43,2.09838343461e+41
793,76.75219091,592.21,10.0,20.46,1.2,4.19713734053e+44,3.22139486436e+42
795,100.2764618,68.06,29.0,20.0,1.5,1.60762071958e+43,5.55884543709e+40
797,886.4016343,610.88,10.8,20.0,1,4.82322227316e+44,3.95862231993e+43
800,111.0938696,726.2,18.9,22.32,1.9,1.19282298961e+45,7.0113926806e+42
801,473.423171,154.05,18.7,20.0,1,5.31088282151e+43,1.34454277335e+42
841,163.8338527,105.08,304.7,24.4,1.9,4.02637564054e+44,2.16493808207e+41
846,1755.756168,242.8,40.0,20.95,1.2,2.82201334796e+44,1.23869183546e+43
862,108.1687197,332.36,10.3,20.0,1.2,1.36162160181e+44,1.42995014935e+42
883,249.3814309,178.3,15.1,21.64,1.5,5.74488502159e+43,9.48786521219e+41
905,525.4202675,163.91,40.2,21.4,1,1.29252413447e+44,1.68934919523e+42
912,131.474111,519.29,18.3,20.0,1.5,5.90571814507e+44,4.24289094502e+42
923,429.0830041,209.37,17.9,22.41,1.5,9.39039032143e+43,2.25098150212e+42
924,118.7799906,248.56,3.4,20.0,1.2,2.51387167744e+43,8.78228394754e+41
925,348.4578356,285.4,4.4,20.0,1.2,4.28906197379e+43,3.39672102759e+42
929,893.5801679,87.84,33.2,21.38,1.9,3.06566323338e+43,8.25125261088e+41
948,1195.26782,157.83,34.3,21.48,1.2,1.02252736754e+44,3.563247981e+42
950,412.6238576,360.74,20.0,21.54,1.2,3.11472927683e+44,6.42605804792e+42
984,650.6975022,261.52,65.6,20.0,1.2,5.36927146479e+44,5.32587123594e+42
986,412.3777322,86.66,13.9,22.03,1.9,1.24926299903e+43,3.70624634863e+41
988,37.66059391,57.73,105.9,23.28,1.9,4.22377507056e+43,1.50207627667e+40
994,12448.16771,252.89,88.5,20.85,1.5,6.77342444894e+44,9.52731339113e+43
995,561.0029892,61.0,34.5,20.0,1.5,1.53631571354e+43,2.49819625407e+41
1002,479.7141734,339.42,14.2,20.0,1,1.95778460946e+44,6.61392271564e+42
